Any deal with upfront > $10M; excluding acquisitions < $300M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deal Title,Pharma,Biotech,Other Company Names (Principal Company),Principal Company Type,Other Company Names (Partner Company),Partner Company Type,Bucket,Modality,TA,# of Targets,Color,Deal Start Date,Most Recent Event Date,Agreement Type,Deal Asset Type,Deal Transaction Type,Status,Total Projected,Total Paid,Upfront Payment,Total Milestone,Royalties (Minimum; estimate),Royalties (Maximum; estimate),Indications,Target-based Actions,Technologies,Drugs,Drugs Highest Status (Deal Start),Drugs Highest Status (Current),Territories Included,Territories Excluded
"GSK and IDEAYA to develop and commercialize Synthetic Lethality programs targeting MAT2A, Pol Theta and Werner Helicase for solid tumors, worldwide",GlaxoSmithKline plc,IDEAYA Biosciences Inc,,Biotech,Glaxo Smith Kline Intellectual Property (No) Ltd; Glaxo Wellcome Manufacturing Pte Ltd; Glaxosmithkline Intellectual Property (No 2) Ltd; Glaxosmithkline Intellectual Property (N°2) Ltd; Glaxosmithkline Intellectual Property Development; Glaxosmithkline Intellectual Property Development Ltd; Glaxosmithkline Intellectual Property Developments Ltd; Glaxosmithkline Intellectual Property Fevelopment Ltd; Glaxosmithkline Intellectual Property Ltd; Glaxosmithkline Intellectual Property Management Ltd; Glaxosmithkllne Intellectual Property Development Ltd; Glsxosmithkline Intellectual Property Development Ltd; Trushelfco No2577 Ltd,Pharma,Modality,Small Molecule,Cancer,3,Synthetic lethality platform,15-Jun-2020,15-Jun-2020,Drug - Development/Commercialization License,Drug; Product(s) only,License - License Option (Option to take a license);License - Co-Development/Co-Development Option (Shared responsibilities and costs),Active,3030,120,100,2860,,,Solid tumor (Primary),DNA polymerase theta inhibitor; S adenosylmethionine synthetase 2 inhibitor; Werner syndrome ATP dependent helicase inhibitor,Small molecule therapeutic (Primary),"IDE-397; polymerase theta inhibitors (solid tumor), IDEAYA Biosciences; werner inhibitors (solid tumor), IDEAYA Biosciences",Preclinical,Preclinical,World,
AbbVie to enter into a license option to develop and commercialize Alpine's ALPN-101 for autoimmune diseases worldwide,AbbVie Inc,Alpine Immune Sciences Inc,N30 Pharma; N30 Pharmaceuticals Inc; N30 Pharmaceuticals LLC; Nivalis Therapeutics Inc,Pharma,Abbvie Inv; Abbvie Pharmaceutical Trading (Shanghai) Co Ltd,Pharma,Asset License,Bispecifics,Immune,1,,17-Jun-2020,17-Jun-2020,Drug - Development/Commercialization License,Product(s) only; Drug,License - License Option (Option to take a license),Active,865,60,60,730,,Payment Unspecified,Autoimmune disease (Primary); Systemic lupus erythematosus,Inducible T-cell co-stimulator inhibitor; T cell surface glycoprotein CD28 inhibitor,Protein recombinant (Primary); Antibody fragment; Biological therapeutic; Infusion; Intravenous formulation; Protein chimeric; Protein fusion; Subcutaneous formulation,ALPN-101 (Orphan Drug),Phase 2 Clinical,Phase 2 Clinical,World,
Daiichi Sankyo Europe to distribute Esperion Therapeutics' bempedoic acid and the bempedoic acid/ezetimibe in the European Economic Area and Switzerland,Daiichi Sankyo Europe GmbH,Esperion Therapeutics Inc,HDL Therapeutics Inc,Pharma,Dalichi Sankyo Europe Gmbh; Karreth Gesellschaft mit beschraenkter Haftung; Luitpold Pharma GmbH; Luitpold-Werk Verwaltung GmbH; Sankyo Pharma GmbH,Pharma,Asset License,Small Molecule,Cardiovascular,1,ACL inhibitor,02-Jan-2019,22-Jun-2020,Drug - Commercialization License,Product(s) only; Drug,Distribution,Active,1200,300,150,1050,,25,Cardiovascular disease (Primary); Atherosclerosis; Familial hypercholesterolemia; Hypercholesterolemia; Hyperlipidemia; Lipid metabolism disorder; Non-alcoholic steatohepatitis,AMP activated protein kinase stimulator; ATP citrate lyase inhibitor; Niemann-Pick C1-like protein-1 inhibitor,Small molecule therapeutic (Primary); Drug combination; Oral formulation; Prodrug; Tablet formulation,"bempedoic acid; bempedoic acid + ezetimibe (fixed-dose combination, hypercholesterolemia), Esperion Therapeutics",Phase 3 Clinical,Launched,Europe; Switzerland; UK,
Sosei Heptares and AbbVie to develop GPCR modulators for inflammatory and autoimmune diseases worldwide,AbbVie Inc,Sosei Heptares,Sosei Co Ltd; Sosei Group Corp; Sosei KK,Pharma,Abbvie Inv; Abbvie Pharmaceutical Trading (Shanghai) Co Ltd,Pharma,Screening,Small Molecule,Immune,4,GPCR targets,25-Jun-2020,25-Jun-2020,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - License Option (Option to take a license);License - Collaboration (Shared responsibilities),Active,409,32,32,Payment Unspecified,,Payment Unspecified,Autoimmune disease; Inflammatory disease,G protein coupled receptor modulator,Small molecule therapeutic (Primary),,Discovery,,World,
Gilead Sciences to develop and commercialize Durect's HIV product using DURECT's SABER technology for HIV and HBV,Gilead Sciences Inc,DURECT Corp,,Pharma,Gilead Biologics Inc; Gilead Calistoga Llc; Gilead Connecticut Inc; Gilead Sciences Drive; Gilead Scienes Inc,Biotech,Asset License,Small Molecule,Infection,2,"HIV, HBV",19-Jul-2019,26-Jun-2020,Drug - Development/Commercialization License,Product(s) only; Drug,License - License Option (Option to take a license);License - Collaboration (Shared responsibilities),Active,320,35,25,145,,Payment Unspecified,HIV infection (Primary); Hepatitis B virus infection,,Small molecule therapeutic (Primary); Injectable formulation; Sustained release formulation,,,,World,
Novartis acquires Takeda's Xiidra for dry eye disease worldwide,Novartis AG,Takeda Pharmaceutical Co Ltd,Chobei Takeda & Co Ltd; Keda Chem Ind Ltd; Shire; Takeda Chem Ind Ltd; Takeda Chemical Industries; Takeda Chemical Industries Ltd; Takeda Corp; Takeda Pharmaceutical Co; Takeda Pharmaceutical Co Limted; Takeda Pharmaceutical Corp Ltd; Takeda Pharmaceuticals America Inc; Takeda Pharmaceuticals USA Inc; Takeda Yakuhin Kogyo KK,Pharma,Novartis; Novartis GmbH; Sandoz Private Ltd,Pharma,Asset License,Small Molecule,Ocular,1,dry eye,08-May-2019,26-Jun-2020,Drug - Asset Divestment,Product(s) only; Drug,Asset Purchase,Completed,5300,3400,3400,1900,,,Xerophthalmia (Primary),CD11a antagonist; ICAM-1 inhibitor,Small molecule therapeutic (Primary); Ophthalmic formulation; Ophthalmic liquid formulation; Solution,lifitegrast,Launched,Launched,World,
Bristol-Myers to develop Dragonfly's immunotherapies and to obtain option for IP rights for candidates against MS and neuroinflammation,Bristol-Myers Squibb Co,Dragonfly Therapeutics Inc,,Pharma,Bristol-Myers Co; Bristol-Myers Squibb; Bristol-Myers Squibb Corp; Squibb Bristol Myers Co,Pharma,Modality,Cell Therapy,Immune,multiple unspec.,"NK, Foothold in new TA, MS and neuro-inflammation",06-Jul-2020,06-Jul-2020,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - License Option (Option to take a license);License - Collaboration (Shared responsibilities),Active,55,55,55,Payment Unspecified,,Payment Unspecified,Multiple sclerosis (Primary); Nervous system inflammation,,Biological therapeutic (Primary); Immunological concept,,Discovery,,World,
Sanofi to develop and commercialize Kiadis K-NK-cell programs for multiple myeloma and blood cancer worldwide,Sanofi SA,Kiadis Pharma BV,Kiadis BV; Kiadis Pharma; Kiadis Pharma Intellectual Property Bv,Pharma,Chinoin Zrt; Dgfp-Delta; Sanofi; Sanofi – Synthelabo; Sanofi-Aventis Gmbh; Sanofi-Aventis Group; Sanofi-Aventis Spa; Sanofis-Aventis; Zentiva; sanofi-aventis,Pharma,Asset License,Cell Therapy,Cancer,1,"NK Ab combo, Multiple myeloma",08-Jul-2020,08-Jul-2020,Drug - Development/Commercialization License,Product(s) only; Drug,License - Basic License (Licensee takes over);License - Supply (Licensor manufactures product),Active,963.13,19.26,19.26,943.87,,Payment Unspecified,Multiple myeloma (Primary); Hematological neoplasm,ADP ribosyl cyclase-1 inhibitor,Natural killer cell therapy (Primary); Allogeneic cell therapy; Biological therapeutic; Drug combination; Infusion; Intravenous formulation; Nanoparticle formulation,K-NK004,Preclinical,Preclinical,World,
Kymera and Sanofi to develop small molecule IRAK4 protein degraders for immune-inflammatory diseases worldwide,Sanofi SA,Kymera Therapeutics LLC,Kymera Therapeutics Inc,Biotech,Chinoin Zrt; Dgfp-Delta; Sanofi; Sanofi – Synthelabo; Sanofi-Aventis Gmbh; Sanofi-Aventis Group; Sanofi-Aventis Spa; Sanofis-Aventis; Zentiva; sanofi-aventis,Pharma,Modality,Bifunctional Ligand,Diversified,1,Protein degrader therapies,09-Jul-2020,09-Jul-2020,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - License Option (Option to take a license);License - Co-Development/Co-Development Option (Shared responsibilities and costs),Active,2150,150,150,2000,,Payment Unspecified,Immune disorder; Inflammatory disease,IRAK-4 protein kinase inhibitor; Ubiquitin ligase modulator,Small molecule therapeutic (Primary); Oral formulation,KYM-001,Preclinical,Preclinical,US; World,
Blueprint and Roche to develop and commercialize pralsetinib against solid tumors worldwide except Greater China,Roche Holding AG,Blueprint Medicines Corp,Hoyle Pharmaceuticals Inc,Pharma,Roche; Roche GmbH; Roche Holding Ltd; Roche Holdings Inc; Roche R&D Center China Ltd,Pharma,Asset License,Small Molecule,Cancer,1,RET-altered NSCLC,13-Jul-2020,13-Jul-2020,Drug - Development/Commercialization License,Product(s) only; Drug,License - Collaboration (Shared responsibilities);License - Co-Development/Co-Development Option (Shared responsibilities and costs),Active,1702,775,675,927,,Payment Unspecified,Non-small-cell lung cancer (Primary); Medullary thyroid cancer; Solid tumor; Thyroid tumor,Ret tyrosine kinase receptor inhibitor,Small molecule therapeutic (Primary); Capsule formulation; Oral formulation,pralsetinib (Orphan Drug),Pre-registration,Pre-registration,World,China; Hong Kong; Macau; Taiwan
"Gilead to codevelop and co-commecrcialize Arcus’s current and future clinical programs against cancer worldwide excluding the US, with an option",Gilead Sciences Inc,Arcus Biosciences Inc,,Pharma,Gilead Biologics Inc; Gilead Calistoga Llc; Gilead Connecticut Inc; Gilead Sciences Drive; Gilead Scienes Inc,Biotech,Asset License,Small Molecule,Cancer,10,"10 years, get foothold in new TA",27-May-2020,13-Jul-2020,Drug - Development/Commercialization License,Drug; Product(s) only,License - Co-Development/Co-Development Option (Shared responsibilities and costs);License - Equity/Equity Option (Licensee invests in Licensor company);License - License Option (Option to take a license),Active,2000,375,175,Payment Unspecified,,Payment Unspecified,Cancer (Primary); Metastatic non small cell lung cancer,Adenosine A2a receptor antagonist; Adenosine A2b receptor antagonist; Programmed cell death protein 1 inhibitor; T cell immunoreceptor Ig ITIM protein inhibitor,Small molecule therapeutic (Primary); Biological therapeutic; Immuno-oncology; Immunoglobulin G isotype antibody; Infusion; Intravenous formulation; Monoclonal antibody human; Monoclonal antibody humanized; Oral formulation; Transgenic rat,AB-928; AB-154; zimberelimab,Pre-registration,Pre-registration,World,US
"BeiGene and Assembly to develop and commercialize ABI-H0731, ABI-H2158 and ABI-H3733 for chronic hepatitis B infection in China, including Hong Kong, Macau, and Taiwan",BeiGene Co Ltd,Assembly Biosciences Inc,South Island Biosciences Inc; Ventrus; Ventrus Biosciences Inc,Pharma,Beigene Ltd,Biotech,Asset License,Small Molecule,Infection,3,Hepatitis B,17-Jul-2020,17-Jul-2020,Drug - Development/Commercialization License,Drug; Product(s) only,License - Co-Development/Co-Development Option (Shared responsibilities and costs),Active,584,40,40,499,,,Hepatitis B virus infection (Primary),Hepatitis B structural protein inhibitor; Hepatitis B structural protein modulator,Small molecule therapeutic (Primary); Formulation solid oral; Oral formulation; Oral liquid formulation; Tablet formulation,ABI-H0731 (Fast Track); ABI-H2158 (Fast Track); ABI-H3733,Phase 2 Clinical,Phase 2 Clinical,China; Hong Kong; Macau; Taiwan,
"Roche and Jnana to discover, develop and commercialize small molecules using RAPID platform for immune-mediated and neurological diseases",Roche Holding AG,Jnana Therapeutics Inc,,Pharma,Roche; Roche GmbH; Roche Holding Ltd; Roche Holdings Inc; Roche R&D Center China Ltd,Pharma,Screening,Small Molecule,Diversified,multiple unspec.,"Immune, Neuro",21-Jul-2020,21-Jul-2020,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - Collaboration (Shared responsibilities),Active,1040,40,40,Payment Unspecified,,Payment Unspecified,Immune disorder; Neurological disease,Solute carrier family modulator,Small molecule therapeutic (Primary); Immunological concept,,Discovery,,,
